Memoria RAM își pierde conținutul la deconectarea sistemului de calcul.  (1)
Interblocările care implică resurse preemtibile pot fi rezolvate de obicei prin realocarea resurselor de la un proces la altul.  (2)
Procesul se adresează la paginile A,B,C,D și E în ordinea: ABCDABEABCADBE.Utilizați algoritmul FIFO pentru determinarea numărului de întreruperi de pagină, dacă procesul se execută cu trei pagini fizice, inițial libere.  (2)
În sistem sunt 4 procese și 5 resurse alocate.Numărul resurselor alocate deja și numărul maximal necesar proceselor este:  (2)
Dispozitivele de citire/scriere sunt conectate la sistem prin porturi.  (3)
Porțiunea de spațiu extra spaţiului disponibil în RAM se numește memorie virtuală.  (3)
Fişierul este unitatea fizică de organizare a datelor pe suport extern.  (3)
Ce execută comanda who |wc-I > fail ?  (4)
Comanda who | wc -1 afişează la monitor numărul utilizatorilor logaţi Linux.  (4)
Care dintre următoarele NU reprezintă o resursă partajată în cazul virtualizării?  (4)
Sistemul de operare UNIX nu poate avea decât un singur interpretor de comenzi (SHELL).  (5)
Fie tabela de pagini a procesului curent este următoarea. Sistemul dispune de 8 pagini virtuale şi 6 pagini fizice. Dimensiunea paginii este 512 octeți. Ce adresă fizică corespunde adresei virtuale 500?  (5)
Principalul avantaj al utilizării tabelei FAT faţă de schema clasică a listelor înlănţuite de blocuri este:  (5)
Într-un sistem de fișiere accesul la fișiere este obligator secvențial.  (6)
Sistemul de operare UNIX permite accesul mai multor administratori de sistem (root) simultan.  (6)
Un sistem de calcul dispune de 8 pagini virtuale și 4 pagini fizice.Dimensiunea unei pagini este 1024 octeți.Care va fi adresa fizică ce corespunde adresei virtuale 4100, dacă tabela de pagini a procesului curent este următoarea:  (7)
Unităţile de inscripţiona CD-uri sunt un exemplu de resursă non-preemptibilă  (9)
Verificarea integrităţii sistemului de fisiere se face cu ajutorul utilitarelor:  (10)
Folosirea multiplelor porțiuni pentru păstrarea datelor în RAM se numește protecția memoriei.  (11)
Principalii algoritmi pentru alocarea memoriei sunt:  (12)
Comanda who | grep mary afișează la monitor informația despre utilizatorul înregistrat mary.  (13)
În sistem sunt 6 unități de bandă magnetică și n procese, care concurează pentru resurse.Fiecare proces are nevoie de 2 unități.Care este valoarea maximă a lui n pentru care în sistem nu va apărea interblocarea?  (13)
Prin ce diferă o înregistrare din tabela de pagini în schema cu memorie virtuală de cea din schema cu organizare paginată?  (15-)
Controlerul dispozitivului administrează logic dispozitivul i/o.  (16)
Adresa de înărcare a programului în memorie se numește adresă de bază.  (17)
Cea mai tipică tehnică de mărire a vitezei de operare cu discul este bufferizarea.  (18)
Modul de organizare a sistemului de fișiere în directorii poate fi:  (18)
Fie tabela de pagini a procesului curent este următoarea. Dimensiunea paginii este 1024 octeți. Ce adresă fizică corespunde adresei virtuale 1052?  (20)
Ce execută comanda  (21)?
Ce execută comanda  (22)?
Ce execută comanda  (23)?
Comanda cat ~/D21/f*.c va afișa conținutul fișierelor .c din directorul ~/D21, numele cărora începe cu simbolul f.  (23)
